Latitude, Longitude, Stop Name, Stop Status
40.686659,-73.965970,GREENE AV/WASHINGTON AV,at stop
40.691530,-73.987583,FULTON ST/SMITH ST,at stop
40.686126,-73.951149,GATES AV/NOSTRAND AV,at stop
40.691632,-73.987847,FULTON ST/SMITH ST,approaching
40.686575,-73.947251,GATES AV/MARCY AV,approaching
40.693866,-73.990441,N/A,N/A
40.686517,-73.947764,GATES AV/MARCY AV,approaching
40.690698,-73.920857,GATES AV/BUSHWICK AV,approaching
40.693866,-73.990441,N/A,N/A
40.689680,-73.921897,GATES AV/BROADWAY,approaching
40.690521,-73.921038,GATES AV/BUSHWICK AV,approaching
40.686246,-73.950103,GATES AV/NOSTRAND AV,approaching
40.687808,-73.936552,GATES AV/MARCUS GARVEY BL,< 1 stop away
40.686061,-73.951744,GATES AV/BEDFORD AV,< 1 stop away